Data wystawienia;Kontrahent;Przychód;Rozchód
05.05.2020;Wspólnota Mieszkaniowa ul. Zefirowa 19,21;0;1
05.05.2020;WSPÓLNOTA MIESZKANIOWA PRZY UL. SYRYJSKIEJ 2-16;0;1
30.04.2020;Wspólnota Mieszkaniowa ul. Rymarska 8-26;0;2
29.04.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
29.04.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;5
23.04.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
22.04.2020;Wspólnota Mieszkaniowa ul. Œliczna 7 - 7a;0;1
22.04.2020; Wspólnota Mieszkaniowa Al. Armii Krajowej 2 - 2a;0;1
22.04.2020;Wspólnota Mieszkaniowa ul. Piêkna 58, 58b, 58c;0;2
22.04.2020;WM UL.GERBEROWA 14,14A,16,18 WE WROC£AWIU;0;2
22.04.2020;Wspólnota Mieszkaniowa ul. Pawia 20;0;1
16.04.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
16.04.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;3
15.04.2020;Zespó³ Szkó³ Nr 18;0;7
15.04.2020;Zespó³ Szkó³ Gastronomicznych;0;1
14.04.2020;DS Smith Polska sp. z o.o.;0;1
08.04.2020;KORF ISOLMATIC SP. Z O.O.;0;1
06.04.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
03.04.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
03.04.2020;PENTAGON PIOTR WALUS;0;2
01.04.2020;Cargilll Poland Sp. z o.o. Oddzia³ w Bielanach Wr;0;6
01.04.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
01.04.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
23.03.2020;WTB INSTALACJE - Pawe³ Knysz;0;2
18.03.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;9
18.03.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
16.03.2020;Port Lotniczy Wroc³aw S.A.;0;3
05.03.2020;BFF INVESTMENTS POLSKA SP. z o.o.;0;1
05.03.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
05.03.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
27.02.2020;IPF SERVICE Sp. z o.o.;0;1
27.02.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
26.02.2020;Wspólnota Mieszkaniowa przy ul. Cha³upniczej 36-46;0;1
24.02.2020;Wspólnota Mieszkaniowa przy ul. Chorwackiej 33-35B;0;3
21.02.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
14.02.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
12.02.2020;S¥D REJONOWY DLA WROC£AWIA-FABRYCZNEJ;0;1
11.02.2020;Invest-Media I Sp. z o.o.;0;1
07.02.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
04.02.2020;WM „Rac³awicka 71-97”;0;2
04.02.2020;WM „Rac³awicka 71-97”;0;2
31.01.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
31.01.2020;WSPÓLNOTA MIESZKANIOWA UL.BIA£OWIESKA 3DC,3DD,;0;1
28.01.2020;LT PRECISION POLAND Sp. z o.o.;0;1
27.01.2020;Forum Zarz¹dzanie Nieruchomoœciami sp.j.;0;1
24.01.2020;E-GLAMOUR.PL Sp. z o.o.;0;1
23.01.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
23.01.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
23.01.2020;Forum Zarz¹dzanie nieruchomoœciami Sp. z o. o. ;0;1
23.01.2020;Wspólnota Mieszkaniowa Zefirowa 26 – 30;0;1
23.01.2020;"Wspólnota M ieszkaniowa ""Partynicka 18""";0;2
23.01.2020;Forum Zarz¹dzanie Nieruchomoœciami sp.j.;0;3
22.01.2020;"Wspólnota Mieszkaniowa ""MAESTRO I""";0;1
20.01.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
13.01.2020;WTB INSTALACJE - Pawe³ Knysz;0;1
13.01.2020;"Wspólnota Mieszkaniowa ""Przy S³owiañskim Wzgórzu"" ";0;3
11.01.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
11.01.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
09.01.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
31.12.2019;;0;63
27.12.2019;SYSTEMS ELECTRONIC JERZY LORKOWSKI;0;4
27.12.2019;WM STAB£OWICKA 77A, 79A, 87, 87A;0;1
20.12.2019;Szko³a Podstawowa Nr 73;0;4
18.12.2019;EMC INSTYTUT MEDYCZNY SA;0;4
17.12.2019;Cargilll Poland Sp. z o.o. Oddzia³ w Bielanach Wr;0;15
17.12.2019;Cargilll Poland Sp. z o.o. Oddzia³ w Bielanach Wr;0;2
16.12.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
06.12.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
04.12.2019;BFF INVESTMENTS POLSKA SP. z o.o.;0;3
