Data wystawienia;Kontrahent;Przych�d;Rozch�d
30.06.2020;Zesp� Elekrociep�owni Wroc�awskich KOGENERACJA S.;0;15
25.06.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;11
25.06.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
25.06.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
25.06.2020;S�d Rejonowy dla Wroc�awia-Krzyk�w we Wroc�awiu;0;1
25.06.2020;Zesp� Szkolno-Przedszkolny Nr 12;0;1
19.06.2020;IPF SERVICE Sp. z o.o.;0;1
19.06.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;18
19.06.2020;BOXMET;60;0
17.06.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
17.06.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;7
15.06.2020;WTB INSTALACJE - Pawe� Knysz;0;1
12.06.2020;TOPACZ INVESTMENTS Sp. z o.o.;0;4
12.06.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
12.06.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
09.06.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;14
05.06.2020;ATM Grupa S.A.;0;1
05.06.2020;Schavemaker Poland Sp. z o.o.;0;1
05.06.2020;W.P.B.M. M�J DOM SA;0;7
05.06.2020;W.P.B.M. M�J DOM SA;0;4
05.06.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
05.06.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;12
05.06.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
05.06.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;20
05.06.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
05.06.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
01.06.2020;ULTRANET Sp. z o.o.;0;29
22.05.2020;"Wsp�lnota Mieszkaniowa ""Paryski Zak�tek"" ";0;4
22.05.2020;BOXMET;100;0
22.05.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
22.05.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
22.05.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
21.05.2020;CEDO Sp�lka z o.o.;0;5
15.05.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;4
15.05.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;12
15.05.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;3
14.05.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;21
07.05.2020;SEKA S.A.;0;2
07.05.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;16
07.05.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
07.05.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;11
07.05.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
05.05.2020;WSP�LNOTA MIESZKANIOWA PRZY UL. SYRYJSKIEJ 2-16;0;1
04.05.2020;BOXMET;5;0
29.04.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;7
29.04.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;9
29.04.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
29.04.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;5
29.04.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;11
